"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"welt",2418,523,336,940,264,645
"bild",957,58,32,261,80,283
"focus",955,72,128,218,67,156
"jungefreiheit",926,0,0,0,0,0
"faz",605,355,208,581,145,365
"spiegel",574,1346,1235,700,1362,423
"tichyseinblick",341,0,0,49,4,10
"n-tv",303,102,142,205,54,150
"tagesspiegel",287,547,359,373,262,189
"afdbundestag",209,0,0,0,0,0
"zeit",205,368,291,180,193,83
"sueddeutsche",185,817,454,245,508,156
"tagesschau",185,478,395,250,187,454
"bz-berlin",144,30,15,31,13,55
"nzz",144,31,24,71,13,36
