"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"cducsu",2,4,1,2,1,762
"welt",2418,523,336,940,264,645
"tagesschau",185,478,395,250,187,454
"spiegel",574,1346,1235,700,1362,423
"faz",605,355,208,581,145,365
"bild",957,58,32,261,80,283
"handelsblatt",134,416,150,445,135,210
"tagesspiegel",287,547,359,373,262,189
"focus",955,72,128,218,67,156
"sueddeutsche",185,817,454,245,508,156
"n-tv",303,102,142,205,54,150
"moz",12,13,28,10,6,117
"rp-online",64,105,71,100,46,114
"morgenpost",130,56,66,215,43,84
"zeit",205,368,291,180,193,83
