"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"spiegel",574,1346,1235,700,1362,423
"sueddeutsche",185,817,454,245,508,156
"taz",46,585,372,40,59,26
"tagesspiegel",287,547,359,373,262,189
"welt",2418,523,336,940,264,645
"tagesschau",185,478,395,250,187,454
"handelsblatt",134,416,150,445,135,210
"zeit",205,368,291,180,193,83
"faz",605,355,208,581,145,365
"gruene-bundestag",1,315,0,0,0,0
"fr",45,169,107,14,59,10
"deutschlandfunk",45,158,93,58,61,64
"zdf",75,139,128,63,75,76
"bundestag",75,125,141,77,15,23
"berliner-zeitung",51,110,101,93,38,22
