"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"Sonstige",1112,1281,1397,683,1111,838
"spiegel",574,1346,1235,700,1362,423
"sueddeutsche",185,817,454,245,508,156
"neues-deutschland",7,22,425,3,6,0
"tagesschau",185,478,395,250,187,454
"taz",46,585,372,40,59,26
"ulla-jelpke",0,0,366,0,0,0
"tagesspiegel",287,547,359,373,262,189
"welt",2418,523,336,940,264,645
"linksfraktion",0,0,300,0,0,0
"zeit",205,368,291,180,193,83
"faz",605,355,208,581,145,365
"hubertus-zdebel",0,0,202,0,0,0
"handelsblatt",134,416,150,445,135,210
"n-tv",303,102,142,205,54,150
"bundestag",75,125,141,77,15,23
"focus",955,72,128,218,67,156
"zdf",75,139,128,63,75,76
"fr",45,169,107,14,59,10
"berliner-zeitung",51,110,101,93,38,22
"andrej-hunko",0,0,97,0,0,0
"heise",39,63,94,59,10,15
"deutschlandfunk",45,158,93,58,61,64
"brigitte-freihold",0,0,76,0,0,0
"rp-online",64,105,71,100,46,114
"rbb24",27,23,70,31,9,21
"br",39,63,67,27,27,22
"morgenpost",130,56,66,215,43,84
"t-online",133,60,65,40,41,30
"facebook",123,6,58,9,5,17
"stern",57,38,58,24,36,35
"weser-kurier",21,21,58,13,9,4
"fabio-de-masi",0,0,55,0,0,0
"freitag",3,17,55,0,5,1
"ndr",34,47,52,13,21,16
"noz",9,105,51,16,17,4
"netzpolitik",7,51,50,8,6,2
"diether-dehm",0,0,49,0,0,0
"katja-kipping",0,0,45,0,0,0
"petrapau",0,0,45,0,0,0
"lvz",53,41,42,8,13,14
"mdr",41,31,41,31,15,26
"sputniknews",36,1,41,0,1,0
"merkur",90,33,40,39,14,50
"der-postillon",15,29,37,12,9,7
"wdr",19,28,37,11,15,10
"die-linke",0,0,36,0,0,0
"maz-online",12,17,36,3,9,46
"berliner-woche",1,2,33,0,4,8
"wiwo",33,51,33,87,14,29
"bild",957,58,32,261,80,283
"haz",58,56,32,33,24,16
"petra-sitte",0,0,29,0,0,0
"swr",22,27,29,19,16,12
"eva-maria-schreiber",0,0,28,0,0,0
"moz",12,13,28,10,6,117
"butenunbinnen",3,3,27,0,4,0
"morgenweb",4,12,27,9,5,29
"campact",0,16,25,0,0,0
"lorenz-goesta-beutin",0,0,25,0,0,0
"abendzeitung-muenchen",5,8,24,4,5,2
"jungewelt",0,0,24,0,0,0
"nzz",144,31,24,71,13,36
"pnn",9,10,24,3,5,8
"bento",4,20,23,9,6,3
"deutschlandfunkkultur",6,34,23,3,4,4
"stuttgarter-nachrichten",46,34,22,39,24,30
"tobias-pflueger",0,0,21,0,0,0
"openpetition",7,7,19,0,1,14
"friedrich-straetmanns",0,0,18,0,0,0
"mopo",15,2,18,0,7,10
"pnp",12,20,18,12,10,11
"dw",7,33,17,9,12,13
"tag24",94,0,17,3,1,0
"topagrar",4,13,17,36,3,3
"vice",3,8,17,3,1,5
"derwesten",44,6,16,2,6,2
"stuttgarter-zeitung",43,83,16,31,39,32
"thueringer-allgemeine",34,9,16,29,9,30
"agrarheute",1,4,15,5,0,0
"bz-berlin",144,30,15,31,13,55
"freiepresse",10,12,15,4,15,9
"migazin",1,16,15,0,7,0
"presseportal",13,15,15,6,9,13
"augsburger-allgemeine",19,50,14,22,10,14
"cornelia-moehring",0,0,14,0,0,0
"dgb",2,2,14,1,11,0
"queer",0,44,14,0,1,1
"rosalux",0,0,14,0,0,0
"heike-haensel",0,0,13,0,0,0
"lto",5,27,13,7,2,7
"nachdenkseiten",1,0,13,0,0,0
"hessenschau",44,17,12,3,19,5
"rt",16,0,12,0,0,0
"boeckler",0,3,11,0,1,0
"daserste",2,7,11,5,4,7
"dnn",20,15,11,6,9,5
"saechsische",43,19,11,7,1,1
"sahra-wagenknecht",0,0,11,0,0,0
"m",11,23,10,13,6,2
"manager-magazin",11,9,10,8,2,1
"mz-web",39,14,10,9,14,15
"nordbayern",16,6,10,20,5,0
"nordkurier",72,2,10,6,6,7
"nw",19,14,10,2,17,3
"reuters",6,22,10,8,6,8
"verdi",0,7,10,0,4,0
"watson",2,6,10,1,2,0
"abendblatt",12,12,9,4,18,33
"change",1,7,9,3,1,0
"deutsche-apotheker-zeitung",1,5,9,5,1,3
"lobbycontrol",0,4,9,0,0,0
"proasyl",0,5,9,0,0,0
"volksfreund",3,3,9,2,3,22
"waz",10,23,9,10,11,6
"wikipedia",8,7,9,3,4,2
"aerztezeitung",0,20,8,13,1,17
"derstandard",1,13,8,1,2,1
"euractiv",1,10,8,1,1,2
"phoenix",2,6,8,2,3,2
"wn",2,7,8,10,1,4
"wordpress",4,9,8,2,3,0
"aachener-nachrichten",0,3,7,2,2,1
"abgeordnetenwatch",1,2,7,2,3,0
"diepresse",10,8,7,1,0,0
"kn-online",8,18,7,4,24,7
"rnz",4,17,7,9,26,5
"tz",11,1,7,1,0,1
"juedische-allgemeine",3,9,6,2,2,2
"mainpost",3,20,6,12,3,7
"svz",12,3,6,7,6,5
"aerzteblatt",5,8,5,4,3,2
"badische-zeitung",10,20,5,7,9,20
"bpb",2,2,5,2,3,0
"businessinsider",9,5,5,6,3,5
"evangelisch",1,7,5,4,14,3
"ipg-journal",0,2,5,0,21,0
"klimareporter",0,15,5,2,2,0
"nwzonline",8,13,5,10,5,4
"ostsee-zeitung",5,4,5,8,2,1
"theeuropean",10,0,5,5,0,2
"volksverpetzer",2,1,5,0,1,3
"wallstreet-online",4,10,5,5,2,3
"westfalen-blatt",4,4,5,5,7,0
"amnesty",0,8,4,0,0,0
"ard",0,4,4,2,1,1
"das-parlament",1,2,4,3,0,1
"deutschlandfunknova",2,6,4,1,0,1
"dwdl",2,3,4,2,2,1
"fnp",15,6,4,3,1,4
"ksta",12,21,4,4,7,13
"lr-online",14,6,4,9,16,10
"mittelbayerische",4,3,4,2,11,1
"saarbruecker-zeitung",15,22,4,27,10,8
"shz",7,9,4,4,4,4
"swp",12,28,4,7,15,5
"berlin",1,5,3,1,1,1
"cicero",71,2,3,23,5,4
"ejz",2,6,3,4,1,1
"general-anzeiger-bonn",6,26,3,5,6,5
"golem",8,33,3,9,6,2
"hna",13,9,3,8,17,1
"jetzt",2,5,3,1,1,1
"ln-online",7,12,3,0,4,1
"nrz",3,4,3,0,3,0
"otz",11,0,3,5,2,3
"rnd",1,5,3,3,2,1
"rtl",10,3,3,8,4,5
"spektrum",0,11,3,5,3,1
"volksstimme",36,1,3,13,5,2
"wz",4,18,3,18,12,27
"boell",0,23,2,0,1,0
"capital",0,3,2,4,0,2
"energate-messenger",0,3,2,6,3,3
"finanznachrichten",2,10,2,6,0,4
"hz",2,4,2,1,2,3
"infranken",16,9,2,7,1,2
"insuedthueringen",3,1,2,5,0,3
"linkedin",0,0,2,33,0,2
"neuepresse",18,11,2,1,5,0
"politik-kommunikation",0,1,2,6,6,1
"reporter-ohne-grenzen",1,6,2,0,2,0
"rheinpfalz",6,3,2,3,9,9
"suedkurier",7,4,2,1,4,8
"achgut",92,0,1,1,0,0
"ard-hauptstadtstudio",1,7,1,0,1,2
"auswaertiges-amt",1,1,1,1,135,2
"bazonline",30,0,1,0,0,0
"blick",10,0,1,1,0,1
"blu",0,6,1,3,2,0
"bmbf",0,0,1,2,0,8
"bmvg",0,0,1,0,1,25
"cducsu",2,4,1,2,1,762
"de/index",45,3,1,0,21,1
"destatis",0,3,1,0,2,5
"echo-online",0,4,1,0,6,2
"express",12,6,1,2,1,4
"freiheit",0,0,1,12,0,0
"geo",6,1,1,1,0,2
"gruenderszene",0,8,1,8,0,4
"hasepost",2,4,1,6,2,2
"katholisch",8,5,1,3,2,13
"kicker",0,3,1,4,3,3
"krone",26,1,1,0,0,0
"rhein-zeitung",3,6,1,7,2,32
"statista",1,0,1,14,0,0
"vorwaerts",9,2,1,0,61,0
"wochenblatt",9,2,1,3,1,1
"wp",3,2,1,3,10,0
"xing",3,4,1,6,3,2
"abgeordnete",0,0,0,25,0,0
"afd",26,0,0,0,0,0
"afd-rems-murr",12,0,0,0,0,0
"afdbundestag",209,0,0,0,0,0
"afdkompakt",23,0,0,0,0,0
"agnieszka-brugger",0,12,0,0,0,0
"ak-kurier",0,1,0,5,0,25
"allgemeine-zeitung",5,30,0,1,1,11
"andreas-steier",0,0,0,0,0,38
"bettina-hoffmann",0,36,0,0,0,0
"blick-aktuell",1,8,0,1,1,44
"blickpunkt-arnsberg-sundern-meschede",0,0,0,0,21,0
"brandner-im-bundestag",19,0,0,0,0,0
"bundesfinanzministerium",0,1,0,4,6,2
"bundesgesundheitsministerium",0,3,0,0,0,8
"bundesregierung",2,8,0,0,1,12
"compact-online",22,0,0,0,0,0
"deutsche-handwerks-zeitung",24,0,0,2,0,0
"deutschland-kurier",56,0,0,0,0,0
"die-tagespost",7,2,0,2,2,6
"dieterjanecek",0,26,0,0,0,0
"epochtimes",89,1,0,2,3,0
"erwin-rueddel",0,0,0,0,0,28
"fdp",1,0,0,50,0,0
"fdp-lsa",0,0,0,14,0,0
"fdpbt",0,0,0,138,1,0
"filiz-polat",0,78,0,0,0,0
"finanzen",5,2,0,1,1,2
"freiewelt",28,1,0,0,0,0
"friesen-im-bundestag",15,0,0,0,0,0
"gabi-weber-spd",0,0,0,0,50,0
"gero-storjohann",0,0,0,0,0,43
"gruen-digital",0,62,0,0,0,0
"gruene",0,29,0,0,0,0
"gruene-bundestag",1,315,0,0,0,0
"herz-und-haltung",1,0,0,0,36,0
"idea",5,0,0,2,1,5
"ingo-wellenreuther",0,0,0,0,0,11
"jmwiarda",0,5,0,9,0,0
"johannes-schraps",0,0,0,0,13,0
"juergenhardt",0,0,0,0,0,15
"jungefreiheit",926,0,0,0,0,0
"klein-schmeink",0,73,0,0,0,0
"kreiszeitung-wochenblatt",0,0,0,0,3,9
"landauer-tafel",0,0,0,0,0,20
"liberale",0,0,0,85,0,0
"marco-buelow",0,0,0,0,0,0
"marian-wendt",0,0,0,0,0,15
"matthias-gastel",0,39,0,0,0,0
"mueller-gemmeke",0,22,0,0,0,0
"muellerbettina",1,0,0,0,38,0
"news-republic",15,0,0,0,0,0
"newsrepublic",17,0,0,0,0,0
"nr-kurier",1,0,0,0,0,41
"nrwspd-landesgruppe",0,0,0,0,15,0
"pboehringer",40,0,0,0,0,0
"petertauber",0,1,0,0,0,22
"pi-news",38,0,0,0,0,0
"piqd",0,8,0,3,0,0
"publicomag",22,0,0,0,0,0
"rosenheim24",2,2,0,4,0,3
"rundschau-online",3,4,0,2,0,2
"schwarzwaelder-bote",1,0,0,5,1,9
"sebastian-hartmann",0,0,0,0,13,0
"sebastian-muenzenmaier",16,0,0,0,0,0
"sebastian-steineke",0,0,0,0,0,41
"soenke-rix",0,0,0,0,34,0
"spd",1,1,0,0,46,0
"spd-fraktion-hessen",10,0,0,0,20,0
"spd-schwarz",0,1,0,0,29,0
"spdfraktion",2,1,0,0,126,0
"sr",0,10,0,8,2,3
"stephankuehn",0,11,0,0,0,0
"stimme",6,9,0,6,11,2
"strengmann-kuhn",0,26,0,0,0,0
"tagesstimme",10,1,0,0,0,0
"tichyseinblick",341,0,0,49,4,10
"tino-sorge",0,0,0,0,0,11
"tlz",8,0,0,5,0,15
"trittin",0,39,0,0,0,3
"ulli-nissen",25,0,0,0,0,0
"uwe-kekeritz",0,16,0,0,0,0
"wilfried-oellers",0,0,0,0,0,44
"wochenblick",26,0,0,0,0,0
"wochenendspiegel",1,2,0,1,1,7
"wr",4,5,0,3,0,0
"ww-kurier",0,0,0,0,5,17
