"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"welt",2418,523,336,940,264,645
"spiegel",574,1346,1235,700,1362,423
"faz",605,355,208,581,145,365
"handelsblatt",134,416,150,445,135,210
"tagesspiegel",287,547,359,373,262,189
"bild",957,58,32,261,80,283
"tagesschau",185,478,395,250,187,454
"sueddeutsche",185,817,454,245,508,156
"focus",955,72,128,218,67,156
"morgenpost",130,56,66,215,43,84
"n-tv",303,102,142,205,54,150
"zeit",205,368,291,180,193,83
"fdpbt",0,0,0,138,1,0
"rp-online",64,105,71,100,46,114
"berliner-zeitung",51,110,101,93,38,22
