"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"spiegel",574,1346,1235,700,1362,423
"Sonstige",1112,1281,1397,683,1111,838
"sueddeutsche",185,817,454,245,508,156
"welt",2418,523,336,940,264,645
"tagesspiegel",287,547,359,373,262,189
"zeit",205,368,291,180,193,83
"tagesschau",185,478,395,250,187,454
"faz",605,355,208,581,145,365
"auswaertiges-amt",1,1,1,1,135,2
"handelsblatt",134,416,150,445,135,210
"spdfraktion",2,1,0,0,126,0
"bild",957,58,32,261,80,283
"zdf",75,139,128,63,75,76
"focus",955,72,128,218,67,156
"deutschlandfunk",45,158,93,58,61,64
"vorwaerts",9,2,1,0,61,0
"fr",45,169,107,14,59,10
"taz",46,585,372,40,59,26
"n-tv",303,102,142,205,54,150
"gabi-weber-spd",0,0,0,0,50,0
"rp-online",64,105,71,100,46,114
"spd",1,1,0,0,46,0
"morgenpost",130,56,66,215,43,84
"t-online",133,60,65,40,41,30
"stuttgarter-zeitung",43,83,16,31,39,32
"berliner-zeitung",51,110,101,93,38,22
"muellerbettina",1,0,0,0,38,0
"herz-und-haltung",1,0,0,0,36,0
"stern",57,38,58,24,36,35
"soenke-rix",0,0,0,0,34,0
"spd-schwarz",0,1,0,0,29,0
"br",39,63,67,27,27,22
"rnz",4,17,7,9,26,5
"haz",58,56,32,33,24,16
"kn-online",8,18,7,4,24,7
"stuttgarter-nachrichten",46,34,22,39,24,30
"blickpunkt-arnsberg-sundern-meschede",0,0,0,0,21,0
"de/index",45,3,1,0,21,1
"ipg-journal",0,2,5,0,21,0
"ndr",34,47,52,13,21,16
"spd-fraktion-hessen",10,0,0,0,20,0
"hessenschau",44,17,12,3,19,5
"abendblatt",12,12,9,4,18,33
"hna",13,9,3,8,17,1
"noz",9,105,51,16,17,4
"nw",19,14,10,2,17,3
"lr-online",14,6,4,9,16,10
"swr",22,27,29,19,16,12
"bundestag",75,125,141,77,15,23
"freiepresse",10,12,15,4,15,9
"mdr",41,31,41,31,15,26
"nrwspd-landesgruppe",0,0,0,0,15,0
"swp",12,28,4,7,15,5
"wdr",19,28,37,11,15,10
"evangelisch",1,7,5,4,14,3
"merkur",90,33,40,39,14,50
