"","AfD","CDU","CSU","Die blaue Partei","DIE GRUENEN","DIE LINKE","FDP","Parteilos","SPD"
"aachener-nachrichten",0,0.000175469380593087,0,0.0111111111111111,0.000309629476726184,0.00078740157480315,0.000290655427990118,0,0.000370233246945576
"abendblatt",0.000999000999000999,0.00579048955957185,0,0,0.00123851790690474,0.00101237345331834,0.000581310855980235,0,0.00333209922251018
"abendzeitung-muenchen",0.000416250416250416,0,0.00476190476190476,0,0.000825678604603158,0.00269966254218223,0.000581310855980235,0,0.000925583117363939
"abgeordnete",0,0,0,0,0,0,0.00363319284987647,0,0
"abgeordnetenwatch",8.32500832500833e-05,0,0,0,0.00020641965115079,0.00078740157480315,0.000290655427990118,0.00728597449908925,0.000555349870418364
"achgut",0.00765900765900766,0,0,0,0,0.000112485939257593,0.000145327713995059,0,0
"aerzteblatt",0.000416250416250416,0.000350938761186173,0,0,0.000825678604603158,0.000562429696287964,0.000581310855980235,0,0.000555349870418364
"aerztezeitung",0,0.00298297947008247,0,0,0.0020641965115079,0.000899887514060742,0.00188926028193577,0,0.000185116623472788
"afd",0.00216450216450216,0,0,0,0,0,0,0,0
"afd-rems-murr",0.000999000999000999,0,0,0,0,0,0,0,0
"afdbundestag",0.0173992673992674,0,0,0,0,0,0,0.00364298724954463,0
"afdkompakt",0.00191475191475191,0,0,0,0,0,0,0,0
"agnieszka-brugger",0,0,0,0,0.00123851790690474,0,0,0,0
"agrarheute",8.32500832500833e-05,0,0,0,0.000412839302301579,0.00168728908886389,0.000726638569975294,0,0
"ak-kurier",0,0.00438673451482716,0,0,0.000103209825575395,0,0.000726638569975294,0,0
"allgemeine-zeitung",0.000416250416250416,0.00193016318652395,0,0,0.00309629476726184,0,0.000145327713995059,0,0.000185116623472788
"amnesty",0,0,0,0,0.000825678604603158,0.000449943757030371,0,0,0
"andreas-steier",0,0.00666783646253729,0,0,0,0,0,0,0
"andrej-hunko",0,0,0,0,0,0.0109111361079865,0,0,0
"ard",0,0.000175469380593087,0,0,0.000412839302301579,0.000449943757030371,0.000290655427990118,0,0.000185116623472788
"ard-hauptstadtstudio",8.32500832500833e-05,0.000350938761186173,0,0,0.000722468779027763,0.000112485939257593,0,0,0.000185116623472788
