"","AfD","CDU","CSU","Die blaue Partei","DIE GRUENEN","DIE LINKE","FDP","Parteilos","SPD"
"afdbundestag",209,0,0,0,0,0,0,2,0
"augsburger-allgemeine",19,12,2,0,50,14,22,1,10
"auswaertiges-amt",1,2,0,0,1,1,1,0,135
"berliner-zeitung",51,20,2,0,110,101,93,2,38
"bild",957,237,46,7,58,32,261,11,80
"br",39,12,10,0,63,67,27,0,27
"bundestag",75,23,0,1,125,141,77,1,15
"bz-berlin",144,55,0,0,30,15,31,1,13
"cducsu",2,720,42,0,4,1,2,0,1
"cicero",71,3,1,1,2,3,23,0,5
"der-postillon",15,7,0,0,29,37,12,3,9
"deutschlandfunk",45,59,5,0,158,93,58,5,61
"facebook",123,17,0,1,6,58,9,0,5
"faz",605,333,32,6,355,208,581,21,145
"fdpbt",0,0,0,0,0,0,138,0,1
"focus",955,150,6,17,72,128,218,74,67
"fr",45,10,0,0,169,107,14,4,59
"gruene-bundestag",1,0,0,0,315,0,0,0,0
"handelsblatt",134,197,13,2,416,150,445,10,135
"haz",58,14,2,0,56,32,33,1,24
"heise",39,12,3,0,63,94,59,3,10
"hessenschau",44,5,0,1,17,12,3,0,19
"hubertus-zdebel",0,0,0,0,0,202,0,0,0
"jungefreiheit",926,0,0,0,0,0,0,0,0
"linksfraktion",0,0,0,0,0,300,0,0,0
"lvz",53,13,1,0,41,42,8,0,13
"maz-online",12,46,0,0,17,36,3,0,9
"mdr",41,26,0,1,31,41,31,1,15
"merkur",90,18,32,0,33,40,39,3,14
"morgenpost",130,84,0,0,56,66,215,2,43
"moz",12,117,0,0,13,28,10,0,6
"mz-web",39,15,0,0,14,10,9,0,14
"n-tv",303,142,8,3,102,142,205,93,54
"ndr",34,16,0,1,47,52,13,1,21
"netzpolitik",7,2,0,0,51,50,8,4,6
"neues-deutschland",7,0,0,0,22,425,3,1,6
"nordkurier",72,7,0,0,2,10,6,0,6
"noz",9,4,0,1,105,51,16,0,17
"nzz",144,35,1,1,31,24,71,1,13
"rbb24",27,21,0,3,23,70,31,0,9
"rp-online",64,113,1,1,105,71,100,1,46
"spdfraktion",2,0,0,0,1,0,0,0,126
"spiegel",574,390,33,2,1346,1235,700,66,1362
"stern",57,33,2,0,38,58,24,15,36
"stuttgarter-nachrichten",46,29,1,0,34,22,39,0,24
"stuttgarter-zeitung",43,32,0,0,83,16,31,1,39
"sueddeutsche",185,120,36,4,817,454,245,19,508
"swr",22,12,0,1,27,29,19,1,16
"t-online",133,29,1,2,60,65,40,4,41
"tag24",94,0,0,0,0,17,3,0,1
"tagesschau",185,443,11,1,478,395,250,34,187
"tagesspiegel",287,183,6,1,547,359,373,18,262
"taz",46,25,1,1,585,372,40,22,59
"thueringer-allgemeine",34,30,0,0,9,16,29,0,9
"tichyseinblick",341,8,2,0,0,0,49,5,4
"ulla-jelpke",0,0,0,0,0,366,0,0,0
"wdr",19,10,0,0,28,37,11,3,15
"welt",2418,574,71,16,523,336,940,32,264
"weser-kurier",21,4,0,0,21,58,13,0,9
"wiwo",33,29,0,1,51,33,87,1,14
"zdf",75,73,3,1,139,128,63,11,75
"zeit",205,73,10,2,368,291,180,15,193
