"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"Anteil","5.3144","3.367","4.425","3.6849","6.0626","4.1702","5.5147","5.7674","3.6209","5.5948","3.2609","4.2671","12.4273","5.042","2.2627","5.2289","3.8811","3.9256","5.5055","6.677"
"","spd","frauen","trump","tuerkei","digitalisierung","prozent","uhr","afd","europa","polizei","scheuer","wohnungen","schon","daten","bundeswehr","prozent","klimaschutz","fluechtlinge","fdp","euro"
"","merkel","kinder","usa","tuerkischen","unsere","afd","sagt","verfassungsschutz","europaeischen","mann","autos","bahn","mal","facebook","schueler","euro","klimawandel","seehofer","bundestag","milliarden"
"","cdu","maenner","russland","erdogan","muessen","partei","stadt","maassen","italien","polizisten","fahrverbote","berliner","immer","unternehmen","soldaten","kinder","glyphosat","migration","gruenen","prozent"
"","sagte","eltern","china","juden","brauchen","gruenen","bild","partei","europaeische","taeter","fahrzeuge","stadt","menschen","patienten","schulen","rente","landwirtschaft","bundesregierung","spd","unternehmen"
"","seehofer","frau","iran","antisemitismus","menschen","spd","fotos","sei","macron","worden","diesel","mieten","politik","internet","saudiarabien","einkommen","for","asylbewerber","sagte","geld"
"","csu","kindern","syrien","deutschland","bildung","parteien","foto","medien","bruessel","staatsanwaltschaft","grenzwerte","euro","gibt","nutzer","leyen","heil","umwelt","bamf","abgeordneten","scholz"
"","krampkarrenbauer","menschen","donald","tuerkische","zukunft","cdu","wurde","chemnitz","frankreich","opfer","euro","berlin","sagen","gesetz","bundesregierung","menschen","grad","deutschland","afd","investitionen"
"","angela","maedchen","staaten","israel","arbeit","linke","jaehrige","hoecke","mittelmeer","ermittlungen","auto","mieter","natuerlich","google","euro","hartz","greta","migranten","antrag","jahr"
"","partei","kind","europa","islam","gesellschaft","fdp","berlin","weidel","migranten","wurde","verkehrsminister","wohnen","vielleicht","digitale","schule","millionen","fridays","abschiebung","cdu","deutschland"
"","kanzlerin","gewalt","uspraesident","kirche","politik","wahl","mal","staatsanwaltschaft","regierung","tat","umwelthilfe","wohnraum","ganz","aerzte","lehrer","mehr","thunberg","fluechtlingen","sei","bank"
"","nahles","maennern","praesident","muslime","soziale","sachsen","interessant","journalisten","eukommission","chemnitz","verkehr","senat","wer","spahn","einsatz","arbeit","tonnen","asyl","union","wirtschaft"
"","koalition","gesellschaft","russischen","menschen","staerken","waehler","beim","verein","parlament","wurden","luft","miete","warum","digitalen","verteidigungsministerium","grundrente","klima","horst","fraktion","millionen"
"","union","zugaenglich","maas","yuecel","sowie","linken","muenchen","worden","brexit","wegen","andreas","vermieter","leute","bundesregierung","verteidigungsministerin","jahr","forscher","abschiebungen","lindner","steuern"
"","merz","leben","regierung","juedischen","forschung","csu","ersten","rechten","grossbritannien","jaehrige","bundesregierung","wohnung","gar","informationen","ministerium","pflege","tiere","innenminister","fraktionen","banken"
"","annegret","journalismus","tuerkei","demokratie","bund","stimmen","lesen","anfrage","may","straftaten","hersteller","bauen","macht","inhalte","ursula","armut","studie","personen","gruene","klimaschutz"
"","maassen","schule","nato","rassismus","herausforderungen","mehrheit","flug","twitter","salvini","gewalt","staedten","mietpreisbremse","einfach","anbieter","waffen","studie","wald","csu","abgeordnete","strom"
"","horst","bezahlen","russische","journalisten","europa","bayern","berliner","gauland","oesterreich","verletzt","duh","prozent","waere","plattformen","millionen","familien","future","pakt","parlament","altmaier"
"","bundeskanzlerin","sprache","ukraine","deutschen","wirtschaft","landtagswahl","false","aeusserungen","spanien","maenner","fahren","mietendeckel","eben","netz","ministerin","zahl","kloeckner","bundesinnenminister","koalition","zahlen"
"","sei","familie","aussenminister","christen","kommunen","umfrage","buergermeister","meuthen","griechenland","uhr","feinstaub","kommunen","viele","datenschutz","ruestungsexporte","beschaeftigten","rwe","abgeschoben","christian","rund"
"","scholz","mutter","nationen","haft","unserer","befragten","platz","rechtsextremen","ungarn","ermittler","stuttgart","wohnungsbau","gerade","versorgung","truppe","leistungen","hambacher","bundespolizei","bundestages","bundesregierung"
