"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Anteil","1.78","6.2674","8.5888","4.0337","3.0165","2.5895","3.4973","3.4171","2.9893","3.1286","5.678","1.7099","4.1839","2.8863","3.6759","3.4194","3.944","2.0534","5.1979","3.4157","2.1455","2.4819","2.4527","2.1664","3.1554","2.3965","3.4278","2.2647","2.0363","2.0004"
"","fahrverbote","spd","schon","prozent","prozent","daten","unternehmen","gesetz","klimaschutz","fluechtlinge","frauen","scheuer","polizei","gericht","kinder","stadt","afd","frauen","sagt","bundesregierung","bundestag","bahn","glyphosat","europa","trump","wohnungen","euro","tuerkei","bild","bundeswehr"
"","studie","merkel","mal","euro","afd","patienten","wirtschaft","parlament","strom","migranten","menschen","euro","mann","euro","euro","uhr","maassen","facebook","mal","anfrage","afd","fahren","landwirtschaft","europaeischen","usa","berliner","milliarden","erdogan","kinder","soldaten"
"","grenzwerte","cdu","sagen","jahr","gruenen","spahn","bank","may","energiewende","migration","gesellschaft","millionen","taeter","staatsanwaltschaft","rente","region","chemnitz","zugaenglich","frau","antwort","abgeordneten","stadt","klimawandel","europaeische","russland","mieten","bund","tuerkischen","schulen","israel"
"","luft","sagte","natuerlich","zahl","spd","facebook","banken","entwurf","energien","menschen","partei","unternehmen","polizisten","urteil","heil","schueler","partei","twitter","frauen","bamf","fraktion","flughafen","tiere","macron","china","mieter","scholz","syrien","islam","journalismus"
"","umwelthilfe","csu","waere","zahlen","partei","unternehmen","intelligenz","grossbritannien","gruenen","asylbewerber","politik","bmw","worden","afd","arbeit","ridder","verfassungsschutz","unserer","schon","behoerden","antrag","euro","umwelt","frankreich","donald","berlin","geld","saudiarabien","schule","beitrag"
"","diesel","partei","immer","millionen","cdu","versorgung","china","brexit","bundesregierung","seehofer","linke","pkwmaut","opfer","richter","menschen","bundestagsabgeordnete","rechten","medien","mann","verfassungsschutz","fdp","auto","wald","bruessel","iran","wohnen","kommunen","tuerkische","schueler","opfer"
"","staedten","union","gibt","milliarden","parteien","aerzte","digitalisierung","union","energie","fluechtlingen","demokratie","konzern","tat","sei","hartz","arbeit","hoecke","informationen","jaehrige","amri","abgeordnete","kilometer","kloeckner","eukommission","staaten","stadt","millionen","bundesregierung","muslime","venezuela"
"","feinstaub","koalition","vielleicht","deutschland","fdp","nutzer","deutschland","europaeischen","schulze","mittelmeer","unsere","ministerium","wurde","verein","pflege","sowie","gauland","website","wurde","seehofer","fraktionen","zuege","grad","italien","europa","wohnraum","laender","regierung","kirche","afghanistan"
"","duh","seehofer","ganz","studie","csu","digitale","altmaier","entscheidung","klimaziele","italien","muessen","maut","jaehrige","fall","eltern","ort","rechtsextremen","artikel","kinder","sicherheitsbehoerden","gruenen","strecke","hambacher","oesterreich","uspraesident","senat","investitionen","journalisten","antisemitismus","leyen"
