"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40"
"Anteil","2.8758","2.7774","2.6661","1.9795","3.3849","2.5997","2.2912","1.1971","1.6352","3.5021","1.8606","2.1291","1.9963","1.7279","2.4521","7.8852","1.5104","2.2043","1.1122","2.5473","1.4784","3.4292","2.7066","1.8838","3.272","0.9231","1.7534","1.9579","1.7431","2.0499","2.6945","2.2103","1.8288","5.5188","2.7537","2.9212","2.0181","2.5218","3.3483","2.6526"
"","juden","uhr","afd","klimaschutz","sagte","trump","berliner","italien","spahn","spd","scholz","bild","afd","kinder","europa","mal","glyphosat","frauen","frauen","fluechtlinge","saudiarabien","euro","polizei","afd","bund","pakt","wohnungen","bruessel","tuerkei","medien","bundesregierung","seehofer","klimawandel","menschen","prozent","urteil","daten","unternehmen","polizei","bahn"
"","antisemitismus","stadt","partei","strom","fdp","russland","berlin","migranten","patienten","partei","spd","foto","gruenen","eltern","europaeischen","schon","feinstaub","arbeit","masi","asylbewerber","bundesregierung","milliarden","staatsanwaltschaft","bundestag","kommunen","oesterreich","mieten","parlament","erdogan","afd","antwort","csu","grad","politik","studie","gericht","facebook","intelligenz","mann","autos"
"","islam","ridder","chemnitz","energiewende","gruenen","usa","stadt","mittelmeer","journalismus","cdu","euro","fotos","partei","schueler","europaeische","sagt","studien","hartz","bundestag","bamf","jemen","prozent","ermittlungen","abgeordneten","digitalisierung","migration","mieter","brexit","tuerkischen","spiegel","anfrage","maassen","landwirtschaft","gesellschaft","befragten","gesetz","nutzer","wirtschaft","taeter","auto"
"","israel","region","hoecke","energien","spd","bundeswehr","senat","menschen","pflege","krampkarrenbauer","rente","interessant","cdu","schulen","frankreich","sagen","grenzwerte","beschaeftigten","fabio","deutschland","afrika","geld","straftaten","fraktion","bildung","fpoe","wohnen","merkel","tuerkische","journalismus","scheuer","merkel","tonnen","muessen","umfrage","richter","internet","firmen","polizisten","fahren"
"","kirche","arbeit","rechten","kohleausstieg","lindner","iran","mueller","salvini","aerzte","merkel","heil","lesen","sachsen","schule","macron","immer","kloeckner","menschen","bundesregierung","migration","millionen","millionen","verfassungsschutz","antrag","foerderung","strache","wohnraum","europaeischen","regierung","journalisten","ministerium","soeder","umwelt","unsere","zahl","entscheidung","inhalte","digitalisierung","worden","fahrzeuge"
"","muslime","bundestagsabgeordnete","verfassungsschutz","kohle","union","soldaten","sagt","schiff","zugaenglich","koalition","grundrente","mal","wahl","kindern","china","natuerlich","mikrogramm","maenner","fraktion","abschiebung","staaten","jahr","amri","abgeordnete","laender","migrationspakt","miete","may","yuecel","artikel","euro","horst","erde","welt","vergleich","verfahren","twitter","deutschland","jaehrige","fahrverbote"
"","deutschland","ort","gewalt","energie","cdu","syrien","berlins","libyen","bezahlen","nahles","olaf","oezil","brandenburg","familien","usa","ganz","bayer","arbeitsmarkt","gmbh","fluechtlingen","menschenrechte","zahlen","ermittler","fraktionen","bundesregierung","kurz","vermieter","grossbritannien","journalisten","weidel","millionen","sagte","klima","immer","anteil","klage","google","industrie","uhr","scheuer"
"","geschichte","wahlkreis","rechts","erneuerbaren","koalition","nato","buergermeister","fluechtlinge","versorgung","union","finanzminister","false","habeck","kind","staaten","vielleicht","studie","arbeiten","linke","asyl","vereinten","kosten","sicherheitsbehoerden","parlament","forschung","afd","wohnung","leyen","freilassung","ard","bund","bayern","klimaschutz","demokratie","jahr","recht","netz","kunden","wurde","diesel"
"","gesellschaft","kreis","rechte","rwe","sei","donald","strasse","italienischen","menschen","merz","milliarden","instagram","landtag","lehrer","bank","gibt","forscher","arbeitgeber","gewalt","seehofer","nationen","rund","behoerden","fdp","muessen","unmigrationspakt","mietpreisbremse","eukommission","recep","spenden","bericht","kanzlerin","wasser","mehr","liegt","bundesverfassungsgericht","digitalen","china","maenner","mobilitaet"
"","deutschen","sowie","gauland","klimaziele","muesse","maas","bezirk","europa","monat","schulz","soli","welt","landtagswahl","greta","trump","einfach","monsanto","arbeitnehmer","schwangerschaftsabbrueche","abschiebungen","waffen","investitionen","luebcke","bundestages","sowie","wien","mietendeckel","weber","tayyip","verein","gruenen","cdu","waelder","soziale","rund","fall","plattformen","altmaier","verletzt","euro"
"","ddr","mdb","nazis","bundesregierung","csu","russischen","flughafen","hafen","krankenkassen","sozialdemokraten","prozent","flug","stimmen","thunberg","europas","gar","luft","mindestlohn","paragrafen","migranten","regierung","pro","anschlag","gruenen","staerken","oesterreichischen","bauen","regierung","praesident","zeitung","vorliegt","chemnitz","fleisch","brauchen","zahlen","sei","uploadfilter","kuenstliche","tat","staedten"
