"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50"
"Anteil","1.6128","1.2097","2.4136","2.1341","2.8293","1.4434","2.4025","1.8249","1.6065","1.8036","1.1985","1.4746","1.5268","1.6461","1.47","1.4669","1.188","2.1996","1.931","2.2602","0.6324","1.4194","5.8908","2.1102","2.5119","2.1034","2.504","1.8228","3.8413","1.5212","1.609","1.5311","1.8351","2.2131","2.3667","1.1713","3.4236","2.2435","2.4622","2.2948","1.2575","1.8229","2.8578","1.6809","1.7146","1.5249","1.22","1.369","1.8608","3.5418"
"","chemnitz","spahn","juden","fluechtlinge","prozent","prozent","merkel","europaeischen","daten","klimawandel","bundeswehr","oezil","maassen","syrien","polizei","tuerkei","glyphosat","bahn","klimaschutz","bund","zugaenglich","migranten","mal","unternehmen","stadt","afd","euro","medien","sagt","bundesregierung","afd","kinder","spd","sagte","gesetz","china","gruenen","wohnungen","staatsanwaltschaft","polizei","frauen","trump","sollen","euro","partei","afd","studie","scheuer","euro","digitalisierung"
"","polizei","patienten","demokratie","asylbewerber","jahr","befragten","seehofer","europa","facebook","wasser","soldaten","sport","verfassungsschutz","russland","demonstranten","erdogan","landwirtschaft","auto","strom","euro","bezahlen","mittelmeer","gibt","euro","uhr","partei","milliarden","journalisten","mal","bundestag","cdu","eltern","nahles","sei","urteil","usa","partei","berliner","wegen","mann","maenner","usa","bundesregierung","arbeit","csu","partei","studien","fahrverbote","milliarden","muessen"
"","gewalt","pflege","antisemitismus","migration","zahl","umfrage","cdu","europaeische","nutzer","tonnen","may","fans","seehofer","tuerkei","uhr","tuerkischen","kloeckner","fahren","energiewende","kommunen","frei","saudiarabien","schon","altmaier","region","islam","scholz","ard","schon","antwort","sachsen","schueler","partei","bundestag","gericht","for","fdp","mieten","ermittlungen","taeter","frau","russland","reform","hartz","bayern","verein","grenzwerte","euro","banken","wirtschaft"
"","straftaten","aerzte","menschen","deutschland","zahlen","afd","csu","eukommission","internet","menschen","brexit","fussball","chemnitz","russischen","demonstration","tuerkische","ministerium","autos","energien","laender","ddr","italien","sagen","konzern","bundestagsabgeordnete","gesellschaft","prozent","artikel","leben","fraktion","abgeordneten","schulen","schulz","muesse","richter","greta","spd","berlin","worden","polizisten","maennern","iran","gesetz","menschen","soeder","hoecke","feinstaub","umwelthilfe","geld","unternehmen"
"","luebcke","versorgung","israel","bamf","millionen","spd","angela","bruessel","google","grad","grossbritannien","wurde","amri","ukraine","menschen","regierung","bayer","verkehr","energie","bundesregierung","osten","menschen","natuerlich","deutsche","ridder","menschen","geld","video","mann","linke","bundestag","schule","koalition","afd","entscheidung","thunberg","lindner","mieter","gericht","jaehrige","gewalt","europa","kommission","heil","wahl","meuthen","forscher","journalismus","bank","intelligenz"
"","rechtsextremen","krankenkassen","freiheit","abschiebung","rund","gruenen","kanzlerin","pakt","fotos","erde","leyen","film","hansgeorg","tuerkischen","hambacher","journalisten","euro","mobilitaet","kohle","foerderung","abo","libyen","ganz","kunden","buergermeister","demokratie","spd","journalismus","frau","anfrage","brandenburg","kindern","andrea","kritik","bundesverfassungsgericht","fridays","linke","wohnen","fall","frau","afrika","donald","entwurf","rente","cdu","weidel","mikrogramm","duh","ezb","menschen"
"","szene","jens","gesellschaft","abschiebungen","studie","mehrheit","krampkarrenbauer","staaten","informationen","forscher","britische","verein","bundesamt","russische","strasse","yuecel","bericht","kilometer","kohleausstieg","milliarden","journalismus","schiff","warum","milliarden","ort","rassismus","jahr","spiegel","immer","antrag","wahl","familien","kuehnert","seien","recht","trump","koalition","stadt","verfahren","tat","frauenanteil","maas","sagt","beschaeftigten","ministerpraesident","spenden","wissenschaftler","pkwmaut","investitionen","brauchen"
"","rechten","kliniken","leben","fluechtlingen","deutschland","fdp","sagte","migration","twitter","tiere","johnson","spiel","sicherheitsbehoerden","syrischen","masi","praesident","landwirte","euro","erneuerbaren","sollen","freiwilligkeit","fluechtlinge","einfach","millionen","landkreis","rechten","millionen","zdf","ganz","gruenen","fraktionen","kind","sagte","cdu","gesetzentwurf","future","parteien","wohnraum","sei","maenner","gleichberechtigung","nato","uploadfilter","grundsicherung","amt","euro","luft","verkehrsminister","prozent","zukunft"
"","rechtsextreme","arzt","geschichte","asyl","euro","platz","horst","ungarn","netz","natur","britischen","spieler","hetzjagden","region","fabio","venezuela","monsanto","fahrzeuge","prozent","ausbau","solidarische","hafen","immer","mitarbeiter","sowie","rechts","kosten","oeffentlichrechtlichen","kirche","abgeordneten","spd","lehrer","union","forderte","klage","hongkong","linken","euro","behoerden","wurde","maedchen","macron","unternehmen","armut","leyen","gauland","gesundheit","beitrag","vermoegen","unsere"
