"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"Anteil","7.5251","4.2508","5.1659","4.8307","4.2803","4.0017","4.3386","4.8858","4.7641","4.8616","5.0126","4.9182","4.7689","5.6782","6.2379","4.4323","4.5799","5.2892","5.1911","4.9873"
"","mal","fluechtlinge","prozent","unternehmen","tuerkei","scheuer","berlin","europa","informationen","euro","bundestag","kinder","afd","frauen","spd","uhr","klimaschutz","polizei","wurde","sagte"
"","sagt","deutschland","jahr","daten","bundeswehr","autos","berliner","europaeischen","anfrage","milliarden","antrag","menschen","partei","menschen","cdu","stadt","deutschland","worden","heute","sei"
"","schon","seehofer","zahl","digitalisierung","bundesregierung","fahren","wohnungen","usa","artikel","millionen","gesetz","euro","maassen","gesellschaft","partei","schulen","klimawandel","wurde","jahre","muesse"
"","gibt","menschen","deutschland","facebook","regierung","auto","bahn","trump","worden","geld","bundesregierung","arbeit","verfassungsschutz","unsere","gruenen","schueler","klima","mann","geschichte","seien"
"","sagen","migranten","studie","digitale","syrien","luft","stadt","russland","spiegel","jahr","fraktion","mehr","chemnitz","politik","union","sagt","energie","wegen","spaeter","koenne"
"","natuerlich","migration","rund","internet","deutschland","andreas","mieten","europaeische","journalismus","bund","abgeordneten","familien","bundestag","demokratie","koalition","schule","umwelt","wurden","damals","gebe"
"","ganz","italien","zahlen","digitalen","tuerkischen","staedten","wohnen","frankreich","sei","scholz","urteil","eltern","rechten","deutschland","merkel","berlin","strom","polizisten","deutschen","kritik"
"","immer","innenminister","vergleich","bundesregierung","erdogan","fahrzeuge","mehr","staaten","wurde","unternehmen","entscheidung","rente","sei","unserer","fdp","bundestagsabgeordnete","landwirtschaft","taeter","mal","erklaerte"
"","einfach","fluechtlingen","deutlich","wirtschaft","soldaten","fahrverbote","euro","china","bericht","investitionen","gesetzentwurf","muessen","twitter","politischen","csu","ort","energiewende","opfer","jahren","solle"
"","warum","horst","weniger","deutschland","saudiarabien","mobilitaet","mieter","deutschland","mitarbeiter","steuern","verfahren","kindern","medien","leben","parteien","kinder","for","staatsanwaltschaft","nie","forderte"
"","waere","asylbewerber","vergangenen","neue","israel","hersteller","bauen","bruessel","bekannt","bank","patienten","heil","video","freiheit","wahl","sowie","bundesregierung","tat","bild","cdu"
"","viele","europa","liegt","muessen","tuerkische","verkehr","senat","grossbritannien","fall","kosten","recht","beschaeftigten","aeusserungen","politische","krampkarrenbauer","region","mehr","jaehrige","leben","berlin"
"","gut","grenze","laut","forschung","maas","pro","neue","donald","offenbar","deutsche","fdp","arbeiten","rechte","maenner","stimmen","arbeit","tonnen","ermittlungen","kam","haetten"
"","wirklich","mittelmeer","jahren","nutzer","deutsche","stuttgart","wohnraum","praesident","unserer","rund","aerzte","spd","politischen","muessen","lindner","gemeinsam","schulze","sei","konnte","betonte"
"","wer","land","fast","bereich","praesident","glyphosat","wohnung","regierung","ministerium","wirtschaft","entwurf","pflege","gauland","debatte","kanzlerin","lehrer","grad","maenner","ersten","wolle"
"","gar","asyl","mehr","intelligenz","land","strassen","bau","merkel","wurden","laender","gericht","leistungen","sachsen","soziale","angela","mitglied","gruenen","straftaten","tag","mittwoch"
"","geht","bamf","demnach","google","deutschen","diesel","sollen","parlament","monat","hoehe","richter","hartz","hoecke","welt","linke","unsere","energien","frau","mann","worden"
"","macht","csu","anteil","nutzen","einsatz","kilometer","miete","macron","schreiben","zahlen","gruenen","leben","afdfraktion","rechte","nahles","jungen","kohleausstieg","uhr","erste","zeitung"
"","tun","bundesregierung","knapp","inhalte","menschenrechte","verkehrsminister","kommunen","europas","weise","deutschland","regelung","kind","rechts","islam","sozialdemokraten","kreis","jahr","zwei","ging","kritisierte"
"","vielleicht","grenzen","insgesamt","entwicklung","region","grenzwerte","mueller","eukommission","beitrag","banken","aenderung","einkommen","abgeordneten","staat","waehler","eltern","kohle","verletzt","familie","gehe"
