"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Anteil","2.6867","3.5642","4.7688","3.6565","4.0528","2.9602","2.9594","2.8874","3.103","3.1509","2.7119","3.6936","2.9869","3.1889","2.9399","2.8145","2.9431","3.8871","2.9795","3.1765","2.5391","2.91","3.8962","3.3112","5.3682","3.0806","3.4514","3.5303","3.2955","3.5058"
"","afd","merkel","muessen","umwelt","prozent","menschen","bundesregierung","euro","maassen","euro","tuerkei","spd","bahn","medien","berlin","bundestag","bundeswehr","gesellschaft","daten","unternehmen","spahn","frauen","polizei","sowie","sagt","fluechtlinge","europa","sagte","gesetz","euro"
"","partei","cdu","menschen","strom","jahr","antisemitismus","klimaschutz","verein","anfrage","arbeit","tuerkischen","partei","bild","twitter","berliner","abgeordneten","bundesregierung","deutschland","facebook","wirtschaft","patienten","kinder","mann","arbeit","mal","menschen","europaeischen","sei","urteil","milliarden"
"","sei","csu","unsere","luft","zahl","veranstaltung","scheuer","monat","verfassungsschutz","menschen","regierung","gruenen","berlin","artikel","wohnungen","antrag","syrien","demokratie","bank","deutschland","menschen","eltern","worden","unsere","schon","deutschland","trump","seien","entscheidung","millionen"
"","parteien","union","politik","klimawandel","studie","stadt","gruenen","sei","bundesregierung","rente","erdogan","cdu","stadt","facebook","mieten","fraktion","usa","menschen","unternehmen","digitalisierung","aerzte","schulen","wurde","gemeinsam","ganz","migranten","usa","muesse","verfahren","geld"
"","gauland","spd","gibt","landwirtschaft","deutschland","for","massnahmen","frei","antwort","einkommen","praesident","linke","fahren","bild","stadt","fdp","soldaten","freiheit","internet","china","jens","schueler","polizisten","unserer","immer","migration","europaeische","koenne","recht","bund"
"","rechten","angela","brauchen","fahrverbote","deutlich","berlin","sollen","journalismus","informationen","heil","tuerkische","parteien","auto","video","wohnen","abgeordnete","iran","heute","nutzer","altmaier","pflege","kindern","wegen","kommunen","sagen","italien","russland","gebe","gericht","jahr"
"","hoecke","seehofer","frage","pro","rund","wurde","ministerium","unterstuetzen","sei","hartz","wurde","wahl","uhr","journalisten","mieter","gruenen","deutschland","politischen","banken","entwicklung","versorgung","schule","taeter","ort","einfach","fluechtlingen","frankreich","erklaerte","richter","scholz"
"","alexander","koalition","immer","grad","zahlen","juden","schulze","worden","chemnitz","armut","worden","linken","stuttgart","schreibt","senat","parlament","maas","leben","google","industrie","bundesregierung","maenner","wurden","region","gut","asylbewerber","bruessel","forderte","fall","investitionen"
"","politischen","kanzlerin","geht","glyphosat","vergleich","aktion","papier","foto","worden","spd","land","stimmen","lesen","schrieb","bauen","bundestages","saudiarabien","geschichte","digitalen","neue","bundestag","frau","opfer","bund","leute","mittelmeer","staaten","haetten","darf","kosten"
