"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40"
"Anteil","2.4172","3.2719","2.503","2.3755","2.6842","2.9871","2.2407","2.556","2.3845","2.4583","2.013","2.3726","2.18","3.0543","2.4415","2.7876","3.5232","2.1275","1.9391","2.3637","2.1464","2.3009","2.3002","1.933","1.9535","2.3275","1.9617","2.6914","2.2146","2.3783","3.8376","2.1545","2.6861","2.4006","2.6367","2.9193","3.5954","2.6099","2.1898","2.0817"
"","gesetz","prozent","europaeischen","maassen","wurde","sagte","frauen","unternehmen","medien","fluechtlinge","bahn","entscheidung","arbeit","polizei","klimaschutz","euro","menschen","bundestag","bild","daten","deutschland","stadt","sagt","menschen","bundeswehr","landwirtschaft","autos","usa","afd","berlin","mal","tuerkei","spd","menschen","bundesregierung","merkel","wer","anfrage","projekt","cdu"
"","gesetzentwurf","jahr","europa","chemnitz","jahre","sei","kinder","deutschland","twitter","deutschland","scheuer","urteil","arbeiten","mann","deutschland","milliarden","unsere","fraktion","lesen","unternehmen","menschen","uhr","schon","strasse","menschen","glyphosat","luft","trump","partei","berliner","gibt","regierung","partei","rente","bund","cdu","schon","worden","bereits","bayern"
"","entwurf","zahl","europaeische","verfassungsschutz","mal","seien","eltern","deutsche","facebook","migration","fahren","gericht","beschaeftigten","wurde","strom","millionen","gesellschaft","abgeordneten","deutschen","digitalisierung","islam","berlin","sei","for","italien","menschen","fahrverbote","russland","parteien","wohnungen","sagen","tuerkischen","gruenen","spahn","sowie","csu","macht","bericht","jahr","sachsen"
"","regelung","studie","bruessel","sicherheitsbehoerden","damals","muesse","schulen","wirtschaft","journalisten","asylbewerber","andreas","sei","mehr","worden","energie","geld","politik","fdp","heute","digitale","juden","arbeit","artikel","demonstranten","soldaten","forscher","stuttgart","staaten","sei","mieten","natuerlich","erdogan","linke","euro","laender","union","waere","ministerium","neue","brandenburg"
"","reform","vergleich","frankreich","informationen","jahren","koenne","kindern","deutschen","video","migranten","berlin","verfahren","unternehmen","taeter","energiewende","jahr","muessen","antrag","geschichte","facebook","antisemitismus","bundestagsabgeordnete","unterstuetzen","aktion","migranten","umwelt","staedten","china","rechten","wohnen","ganz","tuerkische","linken","patienten","massnahmen","angela","gar","sei","sollen","ministerpraesident"
"","artikel","anteil","eukommission","sei","spaeter","forderte","schule","bank","sozialen","fluechtlingen","auto","fall","mitarbeiter","polizisten","bundesregierung","scholz","unserer","gruenen","interessant","digitalen","kirche","region","journalismus","bewegung","mittelmeer","klimawandel","diesel","deutschland","gauland","stadt","schon","syrien","nahles","hartz","foerderung","spd","kaum","spiegel","rund","gruenen"
"","grundgesetz","rund","parlament","anschlag","kam","erklaerte","schueler","banken","kritik","seehofer","mehr","richter","ausbildung","wurden","klima","kosten","soziale","abgeordnete","fotos","internet","israel","ort","frei","aktivisten","europa","deutschland","hersteller","iran","hoecke","mieter","einfach","praesident","koalition","leistungen","kommunen","seehofer","immer","offenbar","antwort","landtag"
"","kuenftig","liegt","regierung","amri","gab","gebe","maenner","geld","schrieb","asyl","verkehr","wegen","arbeitnehmer","wegen","energien","bund","demokratie","linke","wurde","intelligenz","gesellschaft","sowie","geht","demonstration","afrika","wissenschaftler","fahrzeuge","donald","politische","senat","warum","bundesregierung","sozialdemokraten","grundrente","entwicklung","koalition","eben","wurden","ende","soeder"
"","sollen","zahlen","macron","luebcke","ging","betonte","familien","altmaier","ard","abschiebung","strassen","recht","arbeitsmarkt","opfer","schulze","rund","zukunft","parlament","foto","google","rassismus","kreis","immer","polizei","libyen","natur","grenzwerte","saudiarabien","politischen","wohnung","immer","land","parteien","pflege","bildung","kanzlerin","vielleicht","bekannt","derzeit","landtagswahl"
