"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50"
"Anteil","2.0577","2.0559","1.4647","2.2225","1.6499","1.8048","1.476","1.6273","1.7235","1.6957","1.3466","2.4066","1.8294","1.8481","2.0937","2.9088","2.6677","1.6767","1.8939","1.7837","2.6007","2.7754","2.0661","1.9755","2.124","3.0315","2.1437","2.535","2.0675","1.5872","2.6165","1.4446","2.133","2.1384","1.3875","1.8806","1.4902","1.6092","1.6836","1.9385","2.019","1.8816","1.9448","2.5438","2.5908","1.7217","1.9078","1.9491","1.9038","2.0755"
"","maassen","bereits","unterstuetzen","gesetz","trump","tuerkei","menschen","bundesregierung","klimawandel","kinder","bild","euro","russland","bundestag","berlin","sagt","schon","deutschland","digitalisierung","daten","muessen","prozent","klimaschutz","fluechtlinge","wurde","gibt","merkel","menschen","unternehmen","spahn","sagte","bundeswehr","gruenen","euro","bahn","medien","landwirtschaft","frauen","spiegel","bundesregierung","afd","prozent","stadt","wer","polizei","polizei","gericht","autos","europa","spd"
"","verfassungsschutz","jahr","frei","gesetzentwurf","usa","tuerkischen","italien","staaten","grad","eltern","lesen","milliarden","usa","fraktion","berliner","mal","mehr","juden","unternehmen","facebook","unsere","jahr","strom","deutschland","heute","sagen","cdu","politik","wirtschaft","patienten","sei","soldaten","spd","arbeit","deutsche","twitter","glyphosat","maenner","online","antwort","partei","umfrage","uhr","waere","mann","menschen","wegen","auto","europaeischen","partei"
"","chemnitz","ende","beitrag","entwurf","china","erdogan","migranten","migration","menschen","schulen","foto","millionen","iran","abgeordneten","wohnungen","schon","immer","islam","digitale","informationen","brauchen","zahl","deutschland","asylbewerber","jahre","muessen","csu","gesellschaft","deutsche","pflege","seien","saudiarabien","fdp","rente","bundestag","facebook","deutschland","frau","verein","anfrage","sachsen","spd","region","haette","taeter","strasse","urteil","fahrzeuge","europaeische","nahles"
"","sei","rund","schon","reform","grossbritannien","regierung","mittelmeer","deutschland","forscher","kindern","fotos","geld","deutschland","antrag","mieten","immer","viele","antisemitismus","deutschland","unternehmen","zukunft","deutschland","energiewende","migration","damals","natuerlich","seehofer","demokratie","deutschen","menschen","muesse","bundesregierung","koalition","heil","deutschen","video","kloeckner","menschen","zeitung","ministerium","rechten","befragten","bundestagsabgeordnete","gar","wurde","demonstranten","verfahren","fahren","frankreich","schulz"
"","informationen","sollen","artikel","regelung","regierung","syrien","fluechtlinge","laender","wasser","schueler","interessant","bund","maas","abgeordnete","wohnen","leute","waere","kirche","forschung","masi","unserer","studie","energie","fluechtlingen","geschichte","mal","angela","linke","bank","jens","koenne","einsatz","union","menschen","gmbh","journalisten","umwelt","gewalt","spenden","scheuer","rechts","afd","ort","schon","worden","uhr","entscheidung","fahrverbote","bruessel","wahl"
"","sicherheitsbehoerden","zwei","journalismus","duerfen","donald","tuerkische","europa","pakt","wissenschaftler","schule","beim","jahr","europa","afd","mieter","weiss","kaum","israel","intelligenz","nutzer","staerken","zahlen","bundesregierung","bamf","jahren","ganz","kanzlerin","soziale","banken","aerzte","gebe","leyen","cdu","hartz","oesterreich","internet","schmidt","maennern","sei","heisst","hoecke","stimmen","buergermeister","recht","opfer","for","sei","staedten","eukommission","sozialdemokraten"
"","amri","drei","monat","grundgesetz","brexit","praesident","libyen","mueller","erde","familien","welt","scholz","russischen","parlament","stadt","gut","jahren","muslime","wirtschaft","behoerden","schaffen","rund","energien","abschiebung","spaeter","frage","krampkarrenbauer","freiheit","deutschland","versorgung","forderte","waffen","lindner","beschaeftigten","kurz","sozialen","produkte","sprache","focus","bericht","gauland","mehrheit","arbeit","wohl","jaehrige","aktion","richter","luft","macron","andrea"
"","luebcke","seit","unserer","kuenftig","britische","land","schiff","internationalen","millionen","kind","mal","kosten","trump","fraktionen","senat","einfach","gibt","deutschen","digitalen","fabio","endlich","anteil","kohleausstieg","asyl","ddr","warum","bayern","politischen","altmaier","krankenkassen","erklaerte","deutschen","gruene","grundrente","fpoe","inhalte","tiere","gesellschaft","offenbar","vorliegt","thueringen","cdu","sowie","eben","tat","demonstration","fall","diesel","kommission","kuehnert"
"","worden","jahres","geht","recht","new","journalisten","salvini","menschenrechte","weltweit","bildung","geht","investitionen","sanktionen","linke","wohnraum","paar","problem","kultur","neue","google","menschen","vergangenen","schulze","menschen","gab","herr","bundeskanzlerin","welt","firmen","muessen","betonte","ursula","habeck","einkommen","zuege","artikel","fleisch","immer","wurde","kleine","parteien","gruenen","mdb","ganz","wurden","rund","worden","stuttgart","deutschland","wagenknecht"
