"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60"
"Anteil","1.8589","2.3288","1.8649","1.3268","1.7818","1.3606","1.3174","1.5288","1.7997","1.6264","1.6227","1.1513","1.6652","1.183","1.3815","1.4444","1.3399","1.1244","1.405","2.4351","1.8055","1.6757","1.8529","1.2841","1.7219","1.3502","1.7875","1.4526","1.7986","1.5899","1.7548","1.5293","2.3953","2.7167","1.9023","1.6702","1.5393","1.2857","2.2615","1.8676","2.2034","1.9899","1.1746","1.2804","1.7062","2.5856","1.2795","1.6639","1.3645","1.9957","2.4786","1.2941","1.7748","1.6291","1.5245","1.1126","1.6158","1.4954","1.4845","1.5582"
"","merkel","sagte","spd","regierung","klimaschutz","spahn","menschen","bahn","arbeit","bank","gruenen","migration","maassen","china","berlin","welt","landwirtschaft","bild","scholz","prozent","spd","wohnungen","medien","ausbildung","entscheidung","unserer","usa","polizei","fluechtlinge","studie","prozent","unternehmen","menschen","sagen","euro","europa","syrien","bundesregierung","demokratie","worden","polizei","wurde","bundesregierung","bundeswehr","polizei","sagt","tuerkei","digitalisierung","kinder","bund","schon","frauen","afd","bundestag","deutschland","beitrag","daten","scheuer","stadt","gesetz"
"","cdu","sei","union","grossbritannien","strom","patienten","italien","fahren","rente","banken","fdp","pakt","chemnitz","verein","berliner","klimawandel","glyphosat","lesen","steuern","jahr","partei","mieten","twitter","arbeit","urteil","kultur","trump","menschen","deutschland","studien","spd","altmaier","muessen","gibt","milliarden","europaeischen","regierung","antwort","gesellschaft","sei","mann","jahre","frei","soldaten","straftaten","mal","tuerkischen","deutschland","eltern","kommunen","waere","maenner","partei","abgeordneten","juden","geht","facebook","autos","uhr","gesetzentwurf"
"","csu","seien","koalition","parlament","energiewende","pflege","migranten","auto","menschen","geld","lindner","deutschland","verfassungsschutz","organisationen","mueller","weltweit","deutschland","foto","steuer","zahl","nahles","wohnen","online","arbeiten","gericht","unsere","russland","demonstranten","asylbewerber","forscher","umfrage","mitarbeiter","unsere","mal","millionen","europaeische","land","anfrage","politischen","bericht","wurde","damals","saudiarabien","leyen","wegen","schon","erdogan","digitale","schulen","sowie","wer","frau","linke","fraktion","islam","sehen","nutzer","fahrverbote","cdu","duerfen"
"","angela","muesse","koalitionsvertrag","brexit","energie","menschen","mittelmeer","kilometer","heil","deutschen","gruene","deutschen","video","organisation","senat","menschen","umwelt","fotos","einkommen","deutschland","schulz","mieter","video","universitaet","richter","website","donald","strasse","migration","wissenschaftler","stimmen","firmen","politik","natuerlich","jahr","frankreich","region","linke","freiheit","zeitung","worden","jahren","bezahlen","ministerium","staatsanwaltschaft","immer","tuerkische","intelligenz","kindern","laender","wohl","maennern","sachsen","abgeordnete","antisemitismus","unterstuetzen","internet","andreas","bundestagsabgeordnete","grundgesetz"
"","seehofer","koenne","cdu","britische","deutschland","jens","fluechtlinge","verkehr","euro","wirtschaft","koalition","spiel","sei","deutsche","stadt","grad","kloeckner","interessant","staat","rund","sozialdemokraten","wohnraum","spiegel","fachkraefte","verfahren","arbeit","iran","aktivisten","bamf","ergebnisse","befragten","kunden","brauchen","ganz","geld","macron","krieg","kleine","politik","offenbar","jaehrige","heute","zugaenglich","einsatz","wurden","leute","journalisten","wirtschaft","schueler","massnahmen","gar","gewalt","linken","antrag","kirche","teilen","inhalte","diesel","region","regelung"
"","kanzlerin","forderte","sollen","britischen","energien","versorgung","europa","strassen","hartz","deutsche","habeck","sport","rechtsextremen","mitglieder","berlins","greta","tiere","beim","zahlen","zahlen","koalition","bauen","schrieb","bildung","sei","unseren","deutschland","demonstration","fluechtlingen","ergebnis","cdu","beschaeftigten","land","frage","rund","eukommission","menschen","frage","politische","informationen","taeter","spaeter","unserer","ursula","ermittlungen","leben","deutschland","neue","schule","insbesondere","kaum","ehe","parteien","afd","menschen","menschen","informationen","fahrzeuge","landesregierung","bundestag"
"","krampkarrenbauer","erklaerte","regierung","may","kohleausstieg","aerzte","libyen","strecke","grundrente","investitionen","christian","migrationspakt","amri","hongkong","tagesspiegel","afrika","fleisch","welt","olaf","vergangenen","spiegel","wohnung","journalisten","karliczek","fall","kunst","europa","for","abschiebung","menschen","gruenen","wirtschaft","unserer","schon","kosten","bruessel","menschenrechte","artikel","heute","anfrage","polizisten","kam","setzen","ministerin","faelle","ganz","steinmeier","digitalen","familien","regionen","ganz","menschen","cdu","fraktionen","muslime","unterstuetzung","google","hersteller","buergermeister","entwurf"
"","bayern","gebe","papier","london","kohle","krankenkassen","salvini","mehr","armut","deutschland","buendnis","oezil","luebcke","deutschen","hauptstadt","thunberg","natur","geht","abschaffung","anteil","andrea","miete","kritik","stellen","gutachten","sowie","maas","aktion","asyl","experten","mehrheit","deutsche","mehr","warum","bund","oesterreich","syrischen","niedersachsen","ddr","mitarbeiter","uhr","gab","weise","verteidigungsministerin","behoerden","weiss","regierung","entwicklung","kind","laendern","tatsaechlich","mann","brandenburg","parlament","deutschen","regelmaessig","unternehmen","staedten","kreis","aenderung"
"","bundeskanzlerin","betonte","barley","johnson","bundesregierung","arzt","schiff","stadt","einkommen","milliarden","partei","petition","szene","politische","brandenburg","new","produkte","fall","soli","deutlich","online","vermieter","ard","gut","recht","jahr","uspraesident","protest","seehofer","sei","wahl","konzern","gesellschaft","herr","pro","europas","vereinten","aktuelle","wer","vorwuerfe","tat","ging","lesen","verteidigungsministerium","ermittler","viele","yuecel","zukunft","lehrer","umsetzung","wenig","geschlecht","thueringen","bundestages","rassismus","braucht","plattformen","luft","mdb","regelungen"
