"","AfD","FDP","CDU/CSU","DIE GRUENEN","SPD","DIE LINKE","im Mittel"
"Grenzwerte/Fahrverbote",2.21069121617055,0.788858979619574,0.471052787319252,1.86032725520967,1.59945407609533,0.641196321093123,1.26193010591792
"Politik allgemein",11.3799413286082,2.72858741867444,2.28176825667382,4.40311742752348,6.80320745894566,4.510656138685,5.35121300485176
"Sonstiges",14.0017129334222,2.79049584728809,2.32860549323513,6.05034571621568,5.16262737169916,4.56747253497002,5.81687664947172
"Ungleichheit/Umverteilung",7.25160990441331,1.47710252903617,0.482995514097879,1.8881890534388,2.21601804117888,5.85220097609675,3.19468600304363
"Wahlen",7.25091717453267,0.978069595788721,1.02519561178507,2.1777016450746,1.78298125021533,1.22270697473054,2.40626204202116
"Datenschutz",1.10612406542227,0.879062320852632,0.508439020861945,1.28288583978026,3.11301290020388,1.30007024176268,1.36493239814728
"Wirtschaft",2.57474177126533,1.62370622003733,0.41039941553372,1.31171678666345,1.02289715152823,1.99523222078732,1.48978226096923
"Brexit",4.53055833262463,1.50647703864045,0.968444666572492,1.93208874919335,1.45997533719896,2.02433740870472,2.07031358882243
"Klimaschutz",3.32126023219383,2.40129557667256,0.570337845263883,3.94043847472974,2.65950523484501,1.03640461461508,2.32154032972002
"Migration",13.6540232378356,0.432629820338659,0.38830489660967,1.50535917273638,1.35842493900147,1.81525904212335,3.19233351810752
"Linke Programmatik",5.7706450124465,1.56436451668798,0.971901125811813,2.18633778059149,3.90656436816774,5.14786274303393,3.25794592445658
"Autoindustrie",1.29515261095451,0.768747252362278,0.203991337431552,3.72662776966472,0.703419023069636,1.45623585084356,1.35902897405438
"Kriminalität",20.417794666912,0.810024354999156,0.690380352077137,2.40563794533612,1.50716529905124,3.77404872723533,4.93417522426849
"AfD-Spendenaffäre",5.69954935404466,0.431440437672062,0.457788575348097,3.01820740576704,1.6472856832809,3.85495831327401,2.51820496156446
"Sozialstaat",2.91380540701102,1.20233897483898,0.431018524532605,1.03910509123273,2.53314437505985,4.09824390101123,2.0362760456144
"Veranstaltungen",3.67528367119591,0.588979847460725,0.69977461911974,1.03483330046588,1.42816746414968,1.0095533328266,1.40609870586975
"Rechtsextremismus",13.8506333775945,1.00262808936174,1.37580312611631,5.70612712639851,3.97238772131815,3.04146748589892,4.82484115444802
"Medien",4.20114345737271,0.734090333912535,0.457739442099291,1.55292616546417,0.803235595594868,1.2010242520557,1.49169320774988
"Sonstiges",8.8626753296383,1.26291271792382,1.07595429166692,2.96763846271138,2.50762267164977,3.03714921145491,3.28565878084085
"Innere Sicherheit",6.80391854506766,1.64961682160414,0.308194681122435,3.24314200089604,0.726290805423313,3.94213587365833,2.77888312129532
"Parlament",3.75493607797985,0.928847955463216,0.64641723167988,1.39330048754976,0.771800305878827,1.37830486316537,1.47893448695282
"Verkehr",2.86001923118627,1.60762493195597,0.591663835304419,2.10946544470324,0.679372155113343,0.898800034382588,1.45782427210764
"Naturschutz",1.8864222818159,0.923636736343459,0.377213296376554,2.60310381326099,1.67035848936309,1.06320093180331,1.42065592482722
"EU",5.33171608559922,0.763541616478409,0.723638985799633,1.25163719934382,1.35463187920312,1.67559529342137,1.8501268433076
"Außenpolitik",3.90357437443496,0.932287143444945,0.789701046743547,1.37019775193427,2.02721913006424,4.32038098709792,2.22389340561998
"Mietpreise",1.84417960452945,1.20187620357527,0.63303369708916,0.540141696582737,0.700675917497107,1.74983077668327,1.1116229826595
"Haushalt",2.6560068464396,1.97013535413627,0.564046403497507,1.49120746737318,1.73674566356585,2.22294771271016,1.77351490795376
"Türkei/Syrien",4.18151218955747,0.3450275908847,0.328903270370675,2.44602131130083,0.779350863309731,5.41994386723743,2.25012651544347
"Minderheiten",9.63398183996424,0.591316767519589,0.739978261305979,1.66505011357608,1.4094628440586,0.843677828196874,2.48057794243689
"Konflikte",2.31330891321992,0.55980847125956,0.489983642542658,0.955735948198645,1.87316364893968,2.26130626485005,1.40888448150175
"im Mittel",5.97126130244844,1.18151771549445,0.73308897513296,2.30195381343057,1.99720558882236,2.57874015748031,2.46062792546818
