"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"spiegel",574,1346,1235,700,1362,423
"sueddeutsche",185,817,454,245,508,156
"welt",2418,523,336,940,264,645
"tagesspiegel",287,547,359,373,262,189
"zeit",205,368,291,180,193,83
"tagesschau",185,478,395,250,187,454
"faz",605,355,208,581,145,365
"auswaertiges-amt",1,1,1,1,135,2
"handelsblatt",134,416,150,445,135,210
"spdfraktion",2,1,0,0,126,0
"bild",957,58,32,261,80,283
"zdf",75,139,128,63,75,76
"focus",955,72,128,218,67,156
"deutschlandfunk",45,158,93,58,61,64
"vorwaerts",9,2,1,0,61,0
